latitude;longitude;stationname;depth;red;green;blue
54.05;7.987;E_3;28;0;0;1
54.183;7.937;Eider_I;10;0;0;1
54.18;8.04;Eider_II;30;0;0;1
54.207;8.147;Eider_III;20;0;0;1
54.233;8.305;Eider_IV;12;0;0;1
54.227;8.395;Eider_V;10;0;0;1
54.22;8.483;Eider_VI;6;0;0;1
54.152;7.892;Elbe_I;50;0;0;1
54.102;7.987;Elbe_II;28;0;0;1
54.05;8.083;Elbe_III;20;0;0;1
54.008;8.238;Elbe_IV;20;0;0;1
53.99;8.312;Elbe_V;18;0;0;1
53.982;8.405;Elbe_VI;18;0.5;0;1
53.95;8.5;Elbe_VII;16;0;0;1
53.9;8.68;Elbe_VIII;20;0;0;1
54;6.583;FINO_I;27;1;0;0
55.195;7.158;FINO_III;27;1;0;0
53.481;8.182;JaBu_W_2;-1;1;0;1
53.72;8.062;Jade_W_1;-1;1;0;1
53.594;8.166;Jade_W_2;-1;1;0;1
53.702;7.126;Nney_W_1;-1;1;0;1
54.683;6.783;Nordseeboje_III;40;1;0;0
53.986;8.2201666667;OSee_W_1;-1;1;0;1
53.977;8.432;OSee_W_2;-1;1;0;1
53.998;8.082;OSee_W_3;-1;1;0;1
54.049;7.865;OSee_W_4;-1;1;0;1
54.25;7.383;P8_V;38;0;0;1
54.268;7.192;P8_VI;37;0;0;1
54.142;7.9;P8_I;55;0;0;1
54.183;7.792;P8_II;41;0;0;1
54.158;7.667;P8_III;35;0;0;1
54.15;7.567;P8_IV;35;0;0;1
53.744;7.69;Spog_W_1;-1;1;0;1
53.78;7.828;Spog_W_2;-1;1;0;1
54.167;7.45;UFS_Deutsche_Bucht;33;1;0;0
54.167;6.35;UFS_TW_Ems;33;1;0;0
53.632;8.307;WeMu_W_2;-1;1;0;1
53.7795;8.463;WuKu_W_1;-1;1;0;1
53.618;9.546;station001_id329310;16.5;1;1;0
53.619;9.552;station001_id340970;18.6;1;1;0
55.916;3.348;station001_id341170;70.7;1;1;0
53.882;8.716;station002_id316011;24.1;1;1;0
53.875;8.728;station002_id329311;20.6;1;1;0
55.5;4;station002_id341171;31.7;1;1;0
53.883;8.716;station002_id341231;21.6;1;1;0
54.001;8.097;station003_id316012;26.2;1;1;0
54.001;8.101;station003_id328570;23;1;1;0
54.003;8.11;station003_id340972;23.4;1;1;0
55.767;4.251;station003_id341172;38.4;1;1;0
54.002;8.116;station003_id341232;26.2;1;1;0
55.402;4.751;station004_id341173;46.8;1;1;0
54;6.42;station005_id340974;28.9;1;1;0
54.001;8.101;station005_id341107;24.1;1;1;0
55;5.001;station005_id341174;41.2;1;1;0
54.05;7.97;station006_id316015;33.1;1;1;0
54.051;7.969;station006_id328571;32;1;1;0
54.226;8.382;station006_id341108;12.4;1;1;0
54.667;4.999;station006_id341175;45.1;1;1;0
54.05;7.967;station006_id341235;30.9;1;1;0
54.05;7.967;station006_id341235;30.9;1;1;0
54.084;7.835;station007_id316016;46.1;1;1;0
54.084;7.834;station007_id328572;45;1;1;0
54.002;4.835;station007_id340977;42.6;1;1;0
54.258;8.1;station007_id341109;17.7;1;1;0
54.335;5.668;station007_id341176;41.3;1;1;0
54.085;7.833;station007_id341236;43.9;1;1;0
53.942;7.401;station008_id316017;27.8;1;1;0
54.181;7.432;station008_id328573;39.9;1;1;0
54.002;2.999;station008_id340979;41.5;1;1;0
54.667;5.5;station008_id341177;44;1;1;0
53.942;7.401;station008_id341237;27;1;1;0
54.18;7.426;station009_id316018;40.2;1;1;0
54.416;7.58;station009_id328574;26;1;1;0
54.666;7.501;station009_id341111;23.8;1;1;0
55;5.5;station009_id341178;40.7;1;1;0
54.179;7.441;station009_id341238;40.6;1;1;0
54.249;8.102;station010_id328575;15.6;1;1;0
54.67;7.833;station010_id341112;15;1;1;0
55.25;5.501;station010_id341179;44.5;1;1;0
54.249;8.106;station010_id341239;18.1;1;1;0
54.25;8.1;station011_id316020;19;1;1;0
54.225;8.385;station011_id328576;13.4;1;1;0
53;4.002;station011_id340984;29.3;1;1;0
55.512;5.747;station011_id341180;51.8;1;1;0
54.226;8.38;station011_id341240;15.9;1;1;0
54.225;8.381;station012_id316021;15.4;1;1;0
54.5;8.202;station012_id328577;15.5;1;1;0
52.5;4.33;station012_id340986;19.2;1;1;0
55.049;8.202;station012_id341114;15;1;1;0
